DistrictCode,DistrictName,SchoolCode,SchoolName,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate
17417.0,Northshore School District,3790.0,Leota Middle School,11.0,1.0,,,,,12.0,0.0,0.0,0.0,0.0,
17417.0,Northshore School District,5481.0,North Creek High School,289.0,39.0,,,4.0,3.0,7.0,321.0,313.0,1.0,7.0,0.9751
17417.0,Northshore School District,1814.0,Northshore Networks,39.0,16.0,1.0,,3.0,,17.0,38.0,26.0,8.0,4.0,0.6842
17417.0,Northshore School District,5331.0,Northshore Online Reengagement Program,12.0,2.0,,,,4.0,0.0,14.0,5.0,5.0,4.0,0.3571
17417.0,Northshore School District,3811.0,Secondary Academy for Success,40.0,10.0,,,3.0,1.0,2.0,48.0,36.0,8.0,4.0,0.75
17417.0,Northshore School District,4371.0,Skyview Middle School,13.0,1.0,,,,,14.0,0.0,0.0,0.0,0.0,
17417.0,Northshore School District,4516.0,Timbercrest Middle School,6.0,,,,,,6.0,0.0,0.0,0.0,0.0,
17417.0,Northshore School District,4208.0,Woodinville HS,416.0,43.0,,3.0,3.0,4.0,12.0,447.0,429.0,8.0,10.0,0.9597
15201.0,Oak Harbor School District,2974.0,Oak Harbor High School,366.0,94.0,,4.0,6.0,7.0,89.0,371.0,328.0,26.0,17.0,0.8841
14400.0,Oakville School District,2283.0,Oakville High School,15.0,1.0,,,1.0,2.0,2.0,14.0,11.0,0.0,3.0,0.7857
25101.0,Ocean Beach School District,4220.0,Ilwaco High School,61.0,10.0,,,,2.0,12.0,59.0,54.0,3.0,2.0,0.9153
14172.0,Ocosta School District,3024.0,Ocosta Junior - Senior High,56.0,12.0,,2.0,1.0,4.0,8.0,60.0,50.0,3.0,7.0,0.8333
22105.0,Odessa School District,2443.0,Odessa High School,18.0,,,,,,2.0,16.0,14.0,2.0,0.0,0.875
24105.0,Okanogan School District,1980.0,Okanogan Alternative High School,12.0,6.0,,2.0,1.0,5.0,0.0,18.0,7.0,3.0,8.0,0.3889
24105.0,Okanogan School District,5151.0,Okanogan Outreach Alternative School,45.0,11.0,,3.0,3.0,13.0,6.0,50.0,19.0,12.0,19.0,0.38
34111.0,Olympia School District,1768.0,Avanti High School,40.0,5.0,,,,1.0,1.0,44.0,34.0,9.0,1.0,0.7727
34111.0,Olympia School District,3960.0,Capital High School,315.0,55.0,1.0,1.0,3.0,9.0,45.0,325.0,298.0,13.0,14.0,0.9169
